REGION;N°CIRC;CIRCONSCRIPTION;NB BV;INSCRITS;VOTANTS;BULLETINS NULS;BULLETINS BLANCS;GRP. POL.;NOM CAND;SCORE;%;RESULTAT;Annee
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;144;52 106;14070;388;76;INDEPENDANT;KOTO EHOU SOPIE;547;4,00%;;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;RHDP;KOFFI AKA CHARLES;9 078;66,35%;ELU;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;INDEPENDANT;YEPIE KOUASSI THEODORE;58;0,42%;;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;INDEPENDANT;TCHIMOU GNAMON BERTRAND;1 991;14,55%;;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;INDEPENDANT;BOKA BOKA MAURICE;674;4,93%;;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;ADCI;EDI DOFFOU PAUL;331;2,42%;;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;FPI;N'GUESSAN KOTCHI REMI;474;3,46%;;2025
AGNEBY-TIASSA;001;ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE;;;;;;MGC;NANDO YAVO SERGE;453;3,31%;;2025
AGNEBY-TIASSA;002;AGBOVILLE COMMUNE;133;48 710;12821;317;81;ADCI;OCHOU WROHOUM MARIE-PASCALE;296;2,37%;;2025
AGNEBY-TIASSA;002;AGBOVILLE COMMUNE;;;;;;RHDP;DIMBA N'GOU PIERRE;10 675;85,37%;ELU;2025
AGNEBY-TIASSA;002;AGBOVILLE COMMUNE;;;;;;INDEPENDANT;OCHO KOKOU BERTRAND;20;0,16%;;2025
AGNEBY-TIASSA;002;AGBOVILLE COMMUNE;;;;;;INDEPENDANT;TETCHI EHOUE ANTOINE;75;0,60%;;2025
AGNEBY-TIASSA;002;AGBOVILLE COMMUNE;;;;;;INDEPENDANT;N'GOU KOKOLA GRACIASSE;30;0,24%;;2025
AGNEBY-TIASSA;002;AGBOVILLE COMMUNE;;;;;;PDCI-RDA;OHOUNA N'TAKPE NICAISE;1 327;10,61%;;2025
AGNEBY-TIASSA;003;AZAGUIE COMMUNE ET SOUS-PREFECTURE;44;15 515;5174;73;24;INDEPENDANT;KOUAME YAO FREDERIC;439;8,61%;;2025
